Unnamed: 0,mass (kg/m),h (mm),b (mm),tw (mm),tf (mm),r(mm),d (mm),Web class,Flange class,U,X,Iy (mm^4),Iz (mm^4),Ry (mm),Rz (mm),"W_el,y (mm^3)","W_el,z (mm^3)","W_pl,y (mm3)","W_pl,z (mm^3)",I_w (mm^6),I_T (mm^4),A (mm^2)
406 x 178x 67,67.1,409.4,178.8,8.8,14.3,10.2,360.4,41.0,5.23,0.88,30.5,243000000,13600000.0,169.0,39.900000000000006,1190000.0,153000.0,1350000.0,237000.0,533000000000.0,461000.0,8550.0
406 x 178x 60,60.1,406.4,177.9,7.9,12.8,10.2,360.4,45.6,5.84,0.88,33.8,216000000,12000000.0,168.0,39.7,1060000.0,135000.0,1200000.0,209000.0,466000000000.0,333000.0,7650.0
406 x 178x 54,54.1,402.6,177.7,7.7,10.9,10.2,360.4,46.8,6.86,0.869,38.3,187000000,10200000.0,165.0,38.5,930000.0,115000.0,1050000.0,178000.0,392000000000.0,231000.0,6900.0
406 x 140x 53,53.3,406.6,143.3,7.9,12.9,10.2,360.4,45.6,4.46,0.87,34.1,183000000,6350000.0,164.0,30.6,899000.0,88600.0,1030000.0,139000.0,246000000000.0,290000.0,6790.000000000001
406 x 140x 46,46.0,403.2,142.2,6.8,11.2,10.2,360.4,53.0,5.13,0.871,39.0,157000000,5380000.0,164.0,30.299999999999997,778000.0,75700.0,888000.0,118000.0,207000000000.0,190000.0,5860.0
406 x 140x 39,39.0,398.0,141.8,6.4,8.6,10.2,360.4,56.3,6.69,0.858,47.4,125000000,4100000.0,159.0,28.700000000000003,629000.0,57800.0,724000.0,90800.0,155000000000.0,107000.0,4970.0
356 x 171x 67,67.1,363.4,173.2,9.1,15.7,10.2,311.6,34.2,4.58,0.886,24.4,195000000,13600000.0,151.0,39.900000000000006,1070000.0,157000.0,1210000.0,243000.0,412000000000.0,557000.0,8550.0
356 x 171x 57,57.0,358.0,172.2,8.1,13.0,10.2,311.6,38.5,5.53,0.882,28.8,160000000,11100000.0,149.0,39.1,896000.0,129000.0,1010000.0,199000.0,330000000000.0,334000.0,7259.999999999999
356 x 171x 51,51.0,355.0,171.5,7.4,11.5,10.2,311.6,42.1,6.25,0.88,32.1,141000000,9680000.0,148.0,38.6,796000.0,113000.0,896000.0,174000.0,286000000000.0,238000.0,6490.000000000001
356 x 171x 45,45.0,351.4,171.1,7.0,9.7,10.2,311.6,44.5,7.41,0.874,36.8,121000000,8110000.0,145.0,37.599999999999994,687000.0,94800.0,775000.0,147000.0,237000000000.0,158000.0,5730.0
356 x 127x 39,39.1,353.4,126.0,6.6,10.7,10.2,311.6,47.2,4.63,0.871,35.2,102000000,3580000.0,143.0,26.8,576000.0,56800.0,659000.0,89000.0,105000000000.0,151000.0,4980.0
356 x 127x 33,33.1,349.0,125.4,6.0,8.5,10.2,311.6,51.9,5.82,0.863,42.1,82500000,2800000.0,140.0,25.8,473000.0,44700.0,543000.0,70200.0,81000000000.0,87899.99999999999,4210.0
305 x 165x 54,54.0,310.4,166.9,7.9,13.7,8.9,265.2,33.6,5.15,0.888,23.6,117000000,10600000.0,130.0,39.300000000000004,754000.0,127000.0,846000.0,196000.0,234000000000.0,348000.0,6880.0
305 x 165x 46,46.1,306.6,165.7,6.7,11.8,8.9,265.2,39.6,5.98,0.89,27.1,99000000,8960000.0,130.0,39.0,646000.0,108000.0,720000.0,166000.0,195000000000.0,222000.0,5870.0
305 x 165x 40,40.3,303.4,165.0,6.0,10.2,8.9,265.2,44.2,6.92,0.889,31.0,85000000,7640000.0,129.0,38.6,560000.0,92600.0,623000.0,142000.0,164000000000.0,147000.0,5130.0
305 x 127x 48,48.1,311.0,125.3,9.0,14.0,8.9,265.2,29.5,3.52,0.873,23.3,95700000,4610000.0,125.0,27.400000000000002,616000.0,73600.0,711000.0,116000.0,102000000000.0,318000.0,6120.0
305 x 127x 42,41.9,307.2,124.3,8.0,12.1,8.9,265.2,33.2,4.07,0.872,26.5,82000000,3890000.0,124.0,27.0,534000.0,62600.0,614000.0,98400.0,84600000000.0,211000.0,5340.0
305 x 127x 37,37.0,304.4,123.4,7.1,10.7,8.9,265.2,37.4,4.6,0.871,29.7,71700000,3360000.0,123.0,26.7,471000.0,54500.0,539000.0,85400.0,72500000000.0,148000.0,4720.0
305 x 102x 33,32.8,312.7,102.4,6.6,10.8,7.6,275.9,41.8,3.73,0.867,31.6,65000000,1940000.0,125.0,21.5,416000.0,37900.0,481000.0,60000.0,44200000000.0,122000.0,4180.0
305 x 102x 28,28.2,308.7,101.8,6.0,8.8,7.6,275.9,46.0,4.58,0.859,37.4,53700000,1550000.0,122.0,20.8,348000.0,30500.0,403000.0,48400.0,34900000000.0,74000.0,3590.0
305 x 102x 25,24.8,305.1,101.6,5.8,7.0,7.6,275.9,47.6,5.76,0.849,43.1,44600000,1230000.0,119.0,19.7,292000.0,24200.0,342000.0,38800.0,27000000000.0,47699.99999999999,3160.0
254 x 146x 43,43.0,259.6,147.3,7.2,12.7,7.6,219.0,30.4,4.92,0.89,21.1,65400000,6770000.0,109.0,35.2,504000.0,92000.0,566000.0,141000.0,103000000000.0,239000.0,5480.0
254 x 146x 37,37.0,256.0,146.4,6.3,10.9,7.6,219.0,34.8,5.73,0.889,24.3,55400000,5710000.0,108.0,34.8,433000.0,78000.0,483000.0,119000.0,85700000000.0,153000.0,4720.0
254 x 146x 31,31.1,251.4,146.1,6.0,8.6,7.6,219.0,36.5,7.26,0.879,29.6,44100000,4480000.0,105.0,33.6,351000.0,61300.0,393000.0,94100.0,66000000000.0,85500.0,3970.0000000000005
254 x 102x 28,28.3,260.4,102.2,6.3,10.0,7.6,225.2,35.7,4.04,0.874,27.5,40000000,1790000.0,105.0,22.200000000000003,308000.0,34900.0,353000.0,54800.0,28000000000.0,95700.0,3610.0
254 x 102x 25,25.2,257.2,101.9,6.0,8.4,7.6,225.2,37.5,4.8,0.868,31.4,34100000,1490000.0,103.0,21.5,266000.0,29200.0,306000.0,46000.0,23000000000.0,64200.0,3200.0
254 x 102x 22,22.0,254.0,101.6,5.7,6.8,7.6,225.2,39.5,5.93,0.856,36.3,28400000,1190000.0,101.0,20.6,224000.0,23500.0,259000.0,37300.0,18200000000.0,41500.0,2800.0
203 x 133x 30,30.0,206.8,133.9,6.4,9.6,7.6,172.4,26.9,5.85,0.881,21.5,29000000,3850000.0,87.10000000000001,31.7,280000.0,57500.0,314000.0,88200.0,37400000000.0,103000.0,3820.0000000000005
203 x 133x 25,25.1,203.2,133.2,5.7,7.8,7.6,172.4,30.2,7.2,0.877,25.6,23400000,3080000.0,85.60000000000001,31.0,230000.0,46200.0,258000.0,70900.0,29400000000.0,59600.0,3200.0
203 x 102x 23,23.1,203.2,101.8,5.4,9.3,7.6,169.4,31.4,4.37,0.888,22.4,21000000,1640000.0,84.60000000000001,23.599999999999998,207000.0,32200.000000000004,234000.0,49700.0,15400000000.0,70200.0,2940.0
178 x 102x 19,19.0,177.8,101.2,4.8,7.9,7.6,146.8,30.6,5.14,0.886,22.6,13600000,1370000.0,74.80000000000001,23.700000000000003,153000.0,27000.0,171000.0,41600.0,9900000000.0,44100.0,2430.0
152 x 89x 16,16.0,152.4,88.7,4.5,7.7,7.6,121.8,27.1,4.48,0.889,19.5,8340000,898000.0,64.1,21.0,109000.0,20200.0,123000.0,31200.0,4700000000.0,35600.0,2030.0
127 x 76x 13,13.0,127.0,76.0,4.0,7.6,7.6,96.6,24.2,3.74,0.894,16.3,4730000,557000.0,53.5,18.400000000000002,74600.0,14700.0,84200.0,22600.0,2000000000.0,28500.0,1650.0
